batch_id,greenhouse_zone,shift,irrigation_method,worker_experience_years,temperature_c,humidity_pct,soil_moisture_pct,nutrient_ec,fruit_weight_g,sugar_brix,quality_issue
B0040,B동,주간,수경,8.0,24.2,65.4,82.1,2.38,212.0,7.35,0
B0041,B동,주간,점적,6.0,23.5,70.0,62.2,1.45,197.6,6.97,0
B0042,B동,주간,분무,14.0,26.2,78.9,51.2,1.4,161.9,6.5,0
B0043,B동,주간,수경,11.0,29.0,56.6,75.8,2.27,167.0,7.55,0
B0044,D동,야간,수경,10.0,17.8,69.3,66.0,2.16,185.8,8.56,0
B0045,B동,주간,수경,14.0,20.4,62.4,88.0,2.35,198.0,7.38,0
B0046,A동,주간,수경,8.0,24.1,63.8,72.1,2.14,178.8,8.23,0
B0047,A동,주간,점적,9.0,27.5,66.3,70.9,2.01,168.8,6.87,0
B0048,D동,야간,분무,8.0,23.2,84.9,53.5,2.05,153.5,6.98,0
B0049,C동,주간,점적,4.0,27.3,80.1,62.3,2.29,168.5,7.43,0
B0050,B동,주간,점적,7.0,28.5,64.2,64.4,1.14,160.8,7.31,0
B0051,B동,야간,수경,2.0,19.0,64.0,72.0,1.85,164.3,7.06,1
B0052,A동,주간,,7.0,24.5,74.7,41.9,1.92,161.9,8.53,0
B0053,D동,주간,,1.0,25.0,75.9,56.1,,171.5,6.8,0
B0054,A동,야간,점적,3.0,25.0,59.8,53.7,2.39,198.4,7.5,0
B0055,C동,주간,점적,3.0,25.4,62.3,,2.38,169.8,6.93,0
B0056,A동,주간,점적,0.0,26.5,68.5,45.6,1.86,174.4,7.79,0
B0057,C동,야간,점적,13.0,26.7,75.4,56.7,2.02,210.1,7.17,0
B0058,A동,야간,점적,9.0,23.9,,70.2,2.32,195.6,7.33,0
B0059,C동,주간,점적,2.0,24.1,77.2,41.5,2.12,171.3,7.6,0
B0060,B동,야간,점적,2.0,21.7,84.1,62.7,1.95,186.7,6.62,0
B0061,A동,야간,점적,7.0,22.5,80.3,51.2,2.31,173.3,6.32,0
B0062,A동,야간,,8.0,25.6,70.2,68.1,1.74,148.9,7.78,0
B0063,D동,주간,수경,10.0,26.3,71.9,82.4,2.72,116.0,7.93,1
B0064,B동,주간,점적,2.0,23.1,70.4,59.3,2.31,183.6,7.4,0
B0065,C동,주간,점적,6.0,25.6,74.7,55.5,2.18,209.2,6.69,0
B0066,B동,야간,점적,4.0,23.2,65.1,63.5,2.23,184.7,7.55,0
B0067,D동,야간,점적,0.0,23.1,63.5,57.2,2.13,175.4,6.81,0
B0068,A동,야간,수경,,21.7,78.3,84.8,2.25,177.6,6.83,0
B0069,C동,주간,점적,15.0,20.4,73.0,58.2,2.24,150.2,7.36,0
B0070,A동,주간,점적,6.0,29.5,56.6,69.4,1.86,187.3,7.54,0
B0071,C동,야간,분무,7.0,22.9,80.3,53.1,2.15,185.9,6.37,0
B0072,B동,야간,점적,10.0,22.6,87.3,48.8,1.95,177.3,7.4,0
B0073,D동,야간,점적,0.0,22.6,74.6,58.2,2.39,170.5,5.26,1
B0074,B동,주간,점적,5.0,24.7,70.0,,2.71,209.7,7.04,0
B0075,B동,야간,점적,9.0,21.4,72.9,59.0,2.17,174.2,5.78,0
B0076,B동,야간,점적,4.0,18.7,62.0,75.8,2.56,197.0,6.6,0
B0077,A동,주간,분무,10.0,24.2,66.2,63.8,2.01,197.5,6.52,0
B0078,C동,주간,,0.0,24.5,61.4,45.9,2.0,161.3,7.92,1
B0079,B동,주간,수경,,25.6,69.1,76.9,2.51,189.0,7.23,0
B0080,C동,야간,분무,13.0,19.4,68.2,68.0,2.12,174.1,7.33,0
B0081,C동,야간,점적,10.0,23.9,79.1,56.4,2.45,182.4,5.93,0
B0082,C동,주간,점적,2.0,23.9,55.5,77.6,2.28,178.0,6.71,0
B0083,D동,야간,분무,13.0,22.6,73.4,64.2,1.95,202.0,7.27,0
B0084,C동,주간,수경,0.0,23.8,61.8,,2.23,162.0,8.14,0
B0085,D동,주간,점적,9.0,25.3,77.5,60.9,2.62,179.0,6.94,1
B0086,A동,주간,,14.0,25.5,69.1,66.0,1.86,193.7,7.45,0
B0087,C동,야간,수경,0.0,17.3,62.9,75.0,2.4,178.8,7.65,1
B0088,A동,야간,,9.0,21.5,52.7,49.5,1.46,168.6,7.17,1
B0089,B동,주간,분무,13.0,21.4,70.3,56.6,1.58,197.1,7.33,0
B0090,B동,주간,점적,9.0,20.0,57.3,56.6,2.18,213.0,7.52,0
B0091,D동,주간,분무,7.0,24.7,78.1,57.2,1.92,177.3,7.19,0
B0092,D동,주간,점적,9.0,23.4,56.1,58.5,1.41,153.6,7.18,0
B0093,C동,주간,분무,4.0,29.4,76.7,57.7,2.01,191.5,7.58,0
B0094,A동,주간,수경,0.0,25.3,62.3,66.3,1.69,178.9,8.51,1
B0095,C동,주간,점적,15.0,20.5,68.7,61.2,1.33,195.7,7.32,0
B0096,D동,주간,수경,10.0,24.2,82.1,64.8,2.38,173.5,6.81,0
B0097,A동,주간,수경,4.0,23.0,69.8,,2.36,188.9,7.7,1
B0098,A동,주간,점적,12.0,23.1,64.9,53.6,2.15,172.4,5.87,0
B0099,D동,야간,수경,5.0,20.3,68.0,68.8,2.49,201.4,7.89,0
B0100,C동,주간,수경,6.0,23.9,73.2,76.0,2.95,176.1,8.43,0
B0101,B동,주간,수경,15.0,28.4,71.3,64.5,2.48,170.5,5.83,0
B0102,A동,주간,점적,4.0,24.0,68.6,69.5,2.0,175.5,7.45,0
B0103,B동,야간,분무,6.0,21.8,86.1,83.8,1.86,189.8,5.67,0
B0104,A동,야간,,10.0,19.2,76.2,57.4,,193.3,7.1,0
B0105,C동,야간,분무,12.0,25.0,83.3,61.7,2.06,163.8,6.65,0
B0106,B동,야간,분무,10.0,24.5,72.0,59.3,1.57,205.3,6.52,0
B0107,A동,주간,점적,5.0,24.6,85.6,63.3,2.08,193.5,6.87,0
B0108,D동,주간,점적,4.0,23.4,87.9,,2.13,203.4,7.53,0
B0109,C동,야간,점적,9.0,21.4,70.2,60.4,1.97,206.2,6.56,0
B0110,C동,주간,점적,6.0,27.4,75.5,59.3,1.8,167.1,7.78,0
B0111,A동,주간,점적,0.0,24.9,67.2,68.2,2.2,154.8,7.8,0
B0112,C동,주간,점적,9.0,24.5,65.6,,2.01,204.2,7.13,0
B0113,D동,야간,점적,5.0,19.8,70.2,46.1,1.94,161.5,6.75,0
B0114,B동,야간,분무,5.0,21.5,64.9,58.6,1.96,171.1,7.23,0
B0115,B동,주간,분무,,26.1,80.7,72.9,2.34,208.9,7.97,0
B0116,A동,야간,점적,4.0,22.8,65.3,51.0,3.27,167.9,7.09,0
B0117,A동,주간,분무,3.0,22.8,75.2,67.6,2.37,156.5,7.57,0
B0118,C동,야간,분무,15.0,22.5,75.6,59.8,2.63,198.9,7.8,0
B0119,D동,주간,점적,10.0,21.6,66.2,66.7,1.83,168.0,6.84,0
B0120,A동,야간,수경,8.0,21.5,59.1,65.4,2.59,174.1,7.37,0
B0121,D동,야간,점적,10.0,22.4,71.4,66.9,2.94,559.8,7.26,0
B0122,C동,야간,분무,8.0,19.1,82.3,,1.55,216.1,5.64,0
B0123,C동,주간,수경,6.0,23.8,68.4,88.0,2.65,164.8,7.2,0
B0124,C동,야간,점적,8.0,23.5,70.3,59.9,2.54,167.4,6.89,0
B0125,A동,야간,수경,6.0,23.6,64.7,71.8,2.95,164.7,5.91,0
B0126,C동,야간,점적,0.0,24.2,79.6,80.2,2.55,163.5,7.9,0
B0127,B동,주간,수경,11.0,22.6,,73.1,2.25,164.0,7.21,0
B0128,D동,주간,분무,12.0,24.6,84.4,66.8,2.64,162.1,7.69,0
B0129,C동,주간,점적,10.0,27.8,65.0,58.9,1.71,184.4,7.35,0
B0130,B동,주간,점적,14.0,24.3,72.1,47.9,1.96,167.8,7.87,0
B0131,B동,야간,분무,4.0,20.5,72.5,62.7,2.08,181.2,7.1,0
B0132,D동,야간,분무,0.0,22.3,72.0,66.6,2.22,198.0,6.42,0
B0133,A동,주간,분무,4.0,25.8,73.6,60.1,1.69,169.2,6.89,0
B0134,C동,야간,수경,5.0,49.4,81.1,59.1,2.18,164.6,6.64,0
B0135,D동,야간,분무,7.0,21.3,81.5,50.9,2.51,189.7,7.34,0
B0136,D동,주간,점적,7.0,24.2,71.1,,2.06,155.1,7.11,0
B0137,B동,주간,점적,0.0,24.7,68.1,56.4,1.51,144.0,6.08,0
B0138,B동,주간,점적,1.0,23.2,67.4,73.4,1.92,172.8,7.76,0
B0139,B동,주간,점적,5.0,28.7,66.4,68.5,1.24,172.7,6.43,0
B0140,C동,주간,분무,10.0,28.0,68.4,43.0,2.94,158.7,7.27,0
B0141,C동,주간,분무,11.0,20.5,68.5,62.3,2.5,178.4,7.43,0
B0142,B동,야간,수경,2.0,26.2,53.5,68.1,2.41,200.6,7.28,0
B0143,C동,주간,점적,,25.3,74.6,57.4,1.49,173.0,6.72,0
B0144,A동,주간,점적,7.0,20.2,74.0,61.5,1.27,205.0,5.93,0
B0145,B동,주간,수경,3.0,24.7,68.4,79.3,1.73,180.0,7.49,0
B0146,C동,주간,수경,14.0,25.3,85.3,70.0,2.17,194.5,8.23,0
B0147,B동,주간,점적,2.0,23.6,68.5,54.8,1.88,173.1,8.41,1
B0148,C동,주간,점적,3.0,22.0,58.3,60.5,2.28,188.3,7.66,1
B0149,B동,주간,분무,0.0,26.6,68.3,66.1,1.67,198.5,6.2,1
B0150,C동,주간,분무,8.0,23.7,76.4,53.1,2.42,164.7,6.83,0
B0151,D동,야간,점적,6.0,18.4,,65.2,2.13,182.5,7.15,0
B0152,B동,야간,분무,13.0,20.4,72.0,67.3,1.59,165.7,6.46,0
B0153,D동,주간,수경,3.0,24.2,75.7,81.6,2.08,154.9,6.35,0
B0154,B동,야간,점적,10.0,23.1,66.6,51.4,2.27,168.9,7.28,0
B0155,B동,주간,수경,7.0,22.6,74.0,86.7,2.13,157.8,7.08,0
B0156,B동,주간,수경,6.0,22.9,58.5,77.1,6.21,174.4,7.66,0
B0157,D동,주간,점적,2.0,23.9,65.1,53.8,2.27,165.4,7.63,0
B0158,B동,주간,수경,7.0,25.9,70.1,66.3,2.51,201.1,7.21,0
B0159,D동,야간,수경,4.0,21.3,74.7,125.8,2.33,156.2,6.43,0
B0160,A동,주간,수경,5.0,25.6,78.2,85.4,2.34,154.4,7.6,0
B0161,B동,주간,분무,15.0,24.4,75.1,50.8,1.97,187.5,7.02,0
B0162,A동,주간,수경,,26.2,64.2,76.5,2.48,159.6,7.2,0
B0163,C동,야간,수경,,25.6,73.7,80.0,2.68,184.5,7.23,0
B0164,B동,주간,분무,3.0,23.1,74.5,67.6,1.83,162.6,5.53,0
B0165,B동,야간,점적,6.0,22.4,55.5,64.6,2.59,179.3,6.9,0
B0166,C동,주간,수경,1.0,25.7,,84.6,2.39,172.5,7.27,0
B0167,C동,주간,점적,8.0,20.3,59.1,66.9,1.66,196.3,7.5,0
B0168,D동,야간,수경,0.0,23.1,75.5,78.5,2.4,179.6,6.57,0
B0169,A동,주간,점적,9.0,25.7,,49.3,2.29,156.2,8.43,0
B0170,A동,야간,점적,6.0,20.8,65.0,,2.03,146.1,6.17,0
B0171,B동,야간,수경,7.0,22.0,70.6,,2.03,200.5,7.04,1
B0172,C동,주간,점적,7.0,20.3,71.5,53.2,1.97,206.8,7.37,0
B0173,D동,주간,점적,0.0,25.2,53.0,55.4,1.25,169.0,7.11,0
B0174,C동,야간,수경,4.0,25.2,73.3,70.2,2.3,180.2,7.14,0
B0175,C동,주간,수경,9.0,23.7,70.1,68.4,3.18,173.2,6.65,0
B0176,B동,야간,점적,17.0,25.8,73.5,66.0,1.59,197.2,7.03,0
B0177,C동,주간,점적,1.0,22.8,66.2,57.4,1.77,184.1,7.05,0
B0178,D동,주간,점적,6.0,26.0,59.9,57.9,1.84,154.6,7.28,0
B0179,B동,주간,점적,8.0,24.4,72.2,62.7,2.24,165.0,6.54,0
B0180,B동,야간,점적,4.0,21.6,74.8,59.1,1.84,158.4,6.62,0
B0181,D동,주간,분무,7.0,28.4,78.4,57.4,2.12,175.1,7.37,0
B0182,B동,야간,점적,10.0,21.7,79.9,60.2,1.66,211.7,5.88,0
B0183,B동,야간,수경,0.0,22.6,61.6,62.1,2.63,173.8,6.82,1
B0184,C동,야간,점적,1.0,21.3,66.0,59.1,2.5,181.5,6.76,1
B0185,B동,주간,수경,5.0,20.5,77.8,76.8,2.24,157.8,6.38,0
B0186,B동,야간,점적,2.0,20.6,63.2,59.2,2.08,148.6,7.58,0
B0187,D동,주간,점적,7.0,27.0,76.9,76.5,2.16,147.2,7.15,0
B0188,A동,주간,점적,8.0,23.4,70.1,58.0,1.45,184.6,6.71,0
B0189,A동,주간,점적,1.0,25.9,56.0,57.2,1.55,174.7,7.18,0
B0190,C동,야간,분무,7.0,22.5,79.8,46.0,1.84,185.2,6.97,0
B0191,B동,주간,수경,,23.1,65.3,,2.29,179.9,7.61,0
B0192,D동,주간,수경,14.0,23.3,66.0,74.1,2.76,178.0,7.44,0
B0193,B동,야간,수경,9.0,23.2,71.6,74.0,1.98,177.7,7.12,0
B0194,D동,야간,수경,11.0,24.6,74.6,53.2,2.12,128.4,8.66,0
B0195,A동,주간,분무,19.0,28.2,73.9,60.5,2.18,191.7,6.89,0
B0196,B동,야간,점적,1.0,20.8,72.8,62.0,2.2,169.8,7.22,0
B0197,A동,주간,분무,10.0,22.0,78.3,65.1,2.25,183.3,6.83,0
B0198,D동,주간,점적,8.0,21.0,75.3,,1.93,179.4,7.22,0
B0199,A동,야간,점적,11.0,22.0,68.4,71.9,1.76,168.2,8.24,0
B0200,B동,야간,점적,6.0,28.1,80.3,69.0,2.15,192.3,7.31,0
B0201,C동,야간,수경,13.0,25.2,67.7,82.7,2.27,174.5,7.54,0
B0202,C동,주간,점적,5.0,25.8,60.5,50.1,1.62,147.7,6.81,0
B0203,B동,야간,수경,2.0,25.4,73.5,74.4,1.8,138.0,6.69,0
B0204,C동,주간,분무,7.0,27.0,63.7,58.2,,172.9,7.33,0
B0205,D동,주간,수경,8.0,23.6,70.2,81.6,2.69,138.7,7.81,0
B0206,B동,주간,수경,3.0,26.6,68.0,65.5,2.34,182.4,7.54,0
B0207,C동,주간,분무,10.0,23.0,76.0,63.1,1.69,200.4,7.08,0
B0208,B동,야간,점적,14.0,20.7,66.6,60.1,1.87,180.2,7.16,0
B0209,C동,야간,분무,8.0,23.1,69.4,57.9,2.01,199.4,6.77,0
B0210,B동,야간,점적,5.0,23.4,72.3,62.6,1.95,190.6,7.49,0
B0211,A동,주간,점적,11.0,27.8,71.3,71.8,2.12,177.8,8.18,0
B0212,C동,야간,점적,,23.8,72.5,53.8,1.37,180.3,6.77,0
B0213,D동,주간,수경,4.0,25.0,64.7,66.6,1.98,154.6,8.25,0
B0214,C동,주간,수경,9.0,21.1,69.4,57.0,2.66,196.7,6.7,0
B0215,A동,야간,수경,3.0,22.3,75.3,75.9,2.04,149.9,6.58,0
B0216,D동,주간,분무,1.0,24.9,63.8,58.6,2.18,153.4,7.8,0
B0217,A동,주간,점적,4.0,26.0,70.9,59.0,1.5,159.5,7.32,0
B0218,A동,주간,점적,11.0,23.8,72.5,47.8,2.49,174.8,7.67,0
B0219,C동,야간,수경,8.0,23.0,68.1,68.2,2.18,191.6,7.48,0
B0220,A동,주간,점적,3.0,26.2,71.8,65.6,2.22,166.8,7.09,0
B0221,B동,주간,수경,6.0,25.6,46.1,68.4,2.95,240.0,8.22,0
B0222,D동,야간,분무,1.0,19.6,69.4,65.6,1.79,175.9,6.61,0
B0223,A동,야간,분무,9.0,26.2,76.1,57.0,2.54,184.5,6.92,0
B0224,C동,주간,분무,8.0,25.8,80.3,56.4,1.99,171.0,7.1,0
B0225,B동,주간,수경,13.0,26.5,78.0,78.9,1.34,165.2,6.96,0
B0226,B동,야간,점적,12.0,19.8,73.3,52.3,2.14,165.0,6.82,0
B0227,D동,야간,분무,7.0,21.8,77.2,57.2,2.01,176.2,7.51,1
B0228,D동,야간,점적,10.0,26.9,76.9,61.3,2.1,201.3,6.18,0
B0229,A동,야간,수경,0.0,26.1,76.4,72.4,1.91,182.5,6.25,1
B0230,A동,주간,점적,10.0,26.3,50.6,63.1,1.89,179.4,7.29,0
B0231,A동,주간,점적,12.0,24.4,68.5,51.3,2.32,158.9,6.67,0
B0232,B동,야간,점적,3.0,23.7,72.9,58.7,7.5,195.8,7.12,1
B0233,B동,야간,수경,17.0,21.2,57.5,71.3,1.72,197.4,7.1,0
B0234,A동,야간,점적,10.0,19.4,61.1,64.6,2.3,158.2,7.75,0
B0235,A동,야간,수경,1.0,25.2,64.8,84.1,2.35,160.2,7.64,0
B0236,B동,주간,분무,4.0,31.4,78.4,59.8,1.65,174.1,7.4,0
B0237,B동,야간,수경,10.0,22.5,72.7,64.2,2.19,239.4,6.7,0
B0238,B동,주간,수경,10.0,22.0,75.8,72.2,2.45,159.6,7.06,0
B0239,A동,주간,수경,11.0,24.0,66.5,,1.97,149.7,8.15,0
B0240,B동,야간,분무,2.0,25.7,78.5,59.2,1.72,186.1,7.76,0
B0241,A동,야간,수경,11.0,19.1,79.1,74.2,,175.1,7.19,0
B0242,D동,주간,점적,9.0,25.5,71.2,60.7,1.79,198.5,7.39,0
B0243,B동,야간,수경,6.0,23.2,65.3,64.8,1.81,189.5,8.15,0
B0244,A동,야간,분무,9.0,24.7,72.8,58.5,1.84,140.3,7.4,0
B0245,A동,야간,점적,14.0,24.4,77.0,65.0,2.44,173.8,6.57,0
B0246,A동,주간,분무,12.0,25.6,61.7,60.6,1.48,199.1,5.89,0
B0247,C동,주간,점적,3.0,25.1,58.8,65.6,2.34,190.4,7.37,0
B0248,D동,주간,점적,9.0,25.8,67.3,,2.53,181.2,6.98,0
B0249,C동,야간,수경,12.0,22.7,61.2,60.5,2.87,141.3,7.39,0
B0250,B동,주간,수경,6.0,26.6,71.5,83.2,2.53,216.4,7.95,0
B0251,B동,주간,수경,9.0,26.2,67.1,77.6,,176.0,6.77,0
B0252,A동,야간,점적,5.0,21.1,69.1,65.0,2.39,185.8,7.53,0
B0253,C동,주간,점적,4.0,24.2,84.9,62.5,2.09,174.1,7.2,0
B0254,A동,주간,점적,,24.0,66.0,61.9,2.15,197.9,7.51,0
B0255,D동,주간,분무,8.0,26.6,68.9,68.1,2.49,200.4,6.68,0
B0256,C동,야간,,18.0,23.0,65.1,71.7,2.74,204.1,6.54,0
B0257,D동,주간,점적,7.0,23.3,72.4,62.5,2.0,165.7,6.97,0
B0258,D동,주간,점적,5.0,24.2,75.7,64.9,1.73,130.8,7.57,0
B0259,B동,야간,점적,12.0,20.8,77.4,51.8,2.01,180.6,6.99,0
B0260,B동,주간,점적,14.0,26.3,71.4,73.6,1.44,172.2,6.65,0
B0261,B동,주간,점적,6.0,28.1,68.8,,2.03,184.1,7.72,0
B0262,D동,야간,수경,11.0,22.9,57.4,57.7,2.74,174.8,8.32,0
B0263,B동,야간,점적,0.0,21.5,65.6,61.3,2.27,180.2,6.67,0
B0264,B동,야간,분무,6.0,25.3,78.5,59.2,2.16,171.7,7.86,0
B0265,A동,주간,점적,8.0,25.8,56.7,67.3,1.99,188.9,7.55,0
B0266,D동,야간,수경,8.0,20.8,73.7,78.8,2.49,147.6,7.19,0
B0267,A동,야간,점적,6.0,22.9,75.1,67.5,1.83,166.2,7.2,0
B0268,B동,주간,점적,11.0,27.3,77.8,,1.97,179.3,7.51,0
B0269,A동,주간,분무,14.0,23.8,69.8,58.6,1.46,199.2,6.4,0
B0270,C동,주간,수경,9.0,28.4,61.2,79.9,2.51,178.0,8.56,1
B0271,B동,야간,수경,12.0,21.3,57.0,79.1,2.56,204.6,8.09,0
B0272,B동,야간,수경,6.0,22.4,62.1,88.0,2.69,168.0,7.34,0
B0273,C동,야간,수경,0.0,20.9,64.0,71.5,,157.4,7.07,0
B0274,C동,주간,점적,2.0,22.7,72.2,54.3,2.06,180.7,7.91,0
B0275,B동,주간,수경,4.0,26.6,77.7,75.0,2.47,162.2,7.08,0
B0276,C동,주간,점적,10.0,27.0,61.8,60.6,1.55,196.4,7.22,0
B0277,B동,주간,수경,,25.4,78.8,70.7,2.59,179.7,7.02,0
B0278,A동,야간,분무,12.0,21.9,82.5,74.6,1.74,156.7,6.45,0
B0279,A동,주간,수경,4.0,23.2,64.5,56.5,2.08,156.2,6.8,0
B0280,D동,주간,분무,4.0,20.3,66.2,64.4,2.5,160.4,7.05,0
B0281,A동,야간,,13.0,19.5,,73.9,2.04,161.6,7.74,0
B0282,A동,주간,점적,7.0,24.6,65.3,68.0,1.83,189.4,6.73,0
B0283,A동,주간,점적,12.0,22.4,56.5,57.5,2.47,200.6,6.95,0
B0284,B동,야간,수경,11.0,18.4,65.9,66.3,3.2,198.3,7.62,0
B0285,B동,주간,수경,5.0,27.7,74.2,73.4,2.7,167.9,7.11,0
B0286,B동,주간,점적,0.0,23.2,63.2,60.6,1.87,213.9,7.06,1
B0287,D동,야간,점적,7.0,17.0,71.0,54.0,2.21,175.2,6.73,0
B0288,B동,야간,분무,11.0,20.2,80.7,,1.82,188.6,7.18,0
B0289,A동,야간,분무,9.0,20.1,74.8,55.9,1.27,184.1,7.36,1
B0290,B동,주간,분무,0.0,23.1,80.4,51.0,1.4,174.5,7.13,1
B0291,B동,주간,수경,11.0,27.8,69.6,67.4,2.53,206.7,7.86,0
B0292,B동,주간,수경,4.0,21.7,61.8,73.2,2.41,196.9,8.0,0
B0293,A동,야간,분무,0.0,26.5,68.0,65.5,2.3,173.4,7.56,0
B0294,C동,야간,점적,9.0,25.6,79.4,60.4,2.31,182.0,6.74,0
B0295,C동,야간,수경,9.0,25.4,57.7,79.0,2.12,209.0,8.09,0
B0296,D동,주간,수경,5.0,27.3,68.5,81.5,2.35,182.9,6.95,0
B0297,D동,주간,점적,9.0,27.2,73.9,,1.87,164.7,7.04,0
B0298,A동,주간,,5.0,25.5,63.9,56.1,6.03,156.3,6.17,0
B0299,D동,주간,점적,6.0,25.5,71.3,62.5,2.11,168.1,7.18,1
B0300,B동,주간,점적,4.0,27.3,73.9,54.2,1.97,153.0,7.58,0
B0301,B동,야간,분무,8.0,25.0,76.5,53.7,2.14,166.1,6.86,0
B0302,B동,주간,수경,8.0,23.2,70.4,73.9,2.12,179.9,6.4,0
B0303,B동,야간,수경,8.0,26.1,70.5,77.4,2.64,150.0,6.53,0
B0304,A동,야간,분무,6.0,25.0,67.6,61.9,2.0,158.9,7.34,0
B0305,B동,주간,분무,0.0,26.4,74.4,75.9,2.46,198.1,6.73,0
B0306,A동,야간,점적,0.0,22.7,73.7,66.5,2.32,174.8,6.57,0
B0307,D동,주간,점적,,23.1,74.8,65.0,1.94,172.3,7.25,0
B0308,B동,주간,수경,4.0,23.5,65.7,78.8,2.48,178.8,6.78,0
B0309,B동,주간,수경,3.0,24.2,69.6,70.5,2.1,177.0,7.48,0
B0310,C동,주간,수경,7.0,24.3,65.0,78.2,2.78,151.4,6.95,0
B0311,A동,야간,분무,0.0,22.5,79.8,65.6,1.89,162.7,6.7,0
B0312,B동,야간,점적,15.0,24.2,72.2,53.3,1.78,155.4,7.49,0
B0313,D동,주간,점적,9.0,27.1,70.1,68.0,2.13,137.7,6.77,0
B0314,A동,야간,점적,6.0,24.4,74.4,49.6,2.33,160.9,6.85,0
B0315,B동,주간,점적,8.0,29.0,62.8,73.4,2.57,198.5,7.14,0
B0316,C동,야간,점적,8.0,20.4,78.7,42.0,1.84,193.2,7.89,1
B0317,C동,야간,수경,0.0,21.7,76.5,62.1,2.55,176.6,6.08,1
B0318,A동,야간,수경,7.0,24.4,77.2,77.3,2.6,156.2,6.73,0
B0319,A동,야간,수경,9.0,20.4,68.7,80.4,2.53,151.5,7.36,0
B0320,A동,야간,수경,10.0,19.9,62.9,68.9,2.7,162.7,7.75,0
B0321,C동,야간,분무,14.0,24.6,72.7,60.3,2.13,173.2,6.19,0
B0322,D동,주간,수경,8.0,21.9,62.2,77.1,2.87,178.4,6.9,0
B0323,A동,주간,,1.0,25.0,84.6,58.8,1.76,178.4,7.32,0
B0324,C동,주간,수경,7.0,24.1,66.3,69.3,2.12,173.5,6.98,1
B0325,C동,주간,수경,6.0,24.2,63.4,81.9,2.68,177.6,6.7,0
