rental_id,station_zone,member_type,weather,temperature_c,humidity_pct,wind_speed_mps,distance_km,ride_duration_min,bike_age_months,late_return
R0083,도심,일일권,비,11.8,85.1,3.1,10.13,50.3,19.0,1
R0084,공원,월회원,흐림,20.2,70.2,3.3,4.19,23.3,6.0,0
R0085,공원,연회원,맑음,29.8,52.7,4.8,3.63,14.9,28.0,0
R0086,대학가,연회원,흐림,23.6,52.9,3.6,4.01,22.0,18.0,0
R0087,대학가,일일권,맑음,31.4,41.6,1.8,4.59,19.4,4.0,0
R0088,공원,월회원,맑음,20.2,54.4,3.2,3.9,22.6,12.0,0
R0089,공원,월회원,맑음,9.0,57.4,4.4,3.61,13.6,13.0,0
R0090,주거,월회원,맑음,23.2,36.5,4.2,8.46,37.8,1.0,0
R0091,공원,일일권,흐림,22.2,70.5,3.1,3.17,19.9,25.0,0
R0092,대학가,일일권,맑음,25.0,53.7,2.9,8.01,36.1,37.0,0
R0093,주거,일일권,비,16.5,85.2,4.1,4.03,22.1,27.0,0
R0094,주거,일일권,맑음,14.3,57.7,1.7,3.15,13.2,31.0,0
R0095,도심,일일권,맑음,23.7,72.3,3.2,3.23,16.7,4.0,0
R0096,공원,연회원,흐림,17.0,89.1,3.0,5.42,26.6,8.0,0
R0097,주거,연회원,비,20.0,92.3,5.8,10.29,53.1,12.0,0
R0098,도심,연회원,비,22.0,80.7,5.6,2.91,17.8,12.0,0
R0099,도심,일일권,비,14.9,93.6,5.1,4.67,23.3,19.0,0
R0100,공원,일일권,맑음,19.4,62.4,5.3,3.53,17.6,21.0,0
R0101,도심,월회원,맑음,25.1,57.8,1.6,3.11,12.5,37.0,0
R0102,공원,연회원,맑음,32.0,57.2,3.9,2.02,14.9,12.0,0
R0103,주거,연회원,흐림,24.4,64.6,2.0,3.91,22.8,7.0,0
R0104,도심,월회원,맑음,21.9,,4.0,1.81,16.1,8.0,0
R0105,주거,월회원,맑음,22.0,62.1,1.3,4.66,16.7,22.0,0
R0106,대학가,,맑음,21.7,36.3,5.3,6.18,29.2,20.0,0
R0107,도심,월회원,맑음,27.3,56.7,2.3,3.16,22.4,23.0,0
R0108,도심,월회원,맑음,29.1,66.6,1.8,1.87,12.0,23.0,0
R0109,주거,연회원,맑음,28.7,67.3,4.3,6.45,35.5,7.0,0
R0110,대학가,월회원,맑음,21.1,64.9,1.4,8.0,35.7,20.0,0
R0111,주거,일일권,맑음,19.2,43.9,3.5,1.88,225.8,27.0,0
R0112,주거,월회원,흐림,21.7,69.7,3.6,6.02,26.6,27.0,0
R0113,대학가,월회원,흐림,23.3,67.7,2.3,4.45,26.8,3.0,0
R0114,도심,월회원,흐림,19.8,73.3,3.9,2.32,10.3,32.0,0
R0115,주거,연회원,맑음,19.4,67.5,3.4,7.03,33.1,42.0,0
R0116,주거,월회원,맑음,22.5,61.2,4.6,4.37,21.8,35.0,0
R0117,공원,월회원,맑음,22.1,61.0,1.1,1.7,13.4,8.0,0
R0118,공원,월회원,흐림,37.0,66.7,1.4,2.63,20.0,22.0,0
R0119,도심,연회원,맑음,18.6,73.8,2.2,4.72,18.4,10.0,0
R0120,주거,,맑음,20.6,43.1,5.5,2.03,5.2,12.0,0
R0121,도심,일일권,흐림,26.6,64.4,3.9,3.28,,25.0,0
R0122,공원,일일권,맑음,32.4,39.0,3.4,4.58,18.7,38.0,1
R0123,공원,월회원,맑음,19.8,70.6,3.9,4.09,26.6,19.0,0
R0124,주거,연회원,흐림,52.8,58.9,5.3,2.9,19.8,26.0,0
R0125,주거,연회원,흐림,20.8,79.7,2.8,2.16,10.2,47.0,0
R0126,주거,월회원,비,17.8,75.6,5.4,3.8,18.1,18.0,0
R0127,주거,연회원,흐림,17.8,52.4,4.4,1.66,16.1,46.0,0
R0128,도심,,흐림,12.7,71.1,2.7,1.69,12.9,21.0,0
R0129,도심,연회원,흐림,26.1,94.5,3.5,8.7,40.0,13.0,1
R0130,대학가,월회원,맑음,20.9,55.7,1.8,5.2,24.8,33.0,0
R0131,공원,연회원,맑음,22.8,53.5,3.3,2.1,7.6,28.0,0
R0132,대학가,월회원,,22.1,73.5,2.8,1.81,13.6,34.0,0
R0133,대학가,연회원,흐림,25.2,78.9,1.5,3.15,16.0,29.0,0
R0134,주거,연회원,맑음,17.5,63.2,3.4,4.85,18.8,24.0,0
R0135,주거,일일권,비,12.7,74.0,3.7,4.45,29.1,13.0,0
R0136,도심,일일권,맑음,18.4,57.8,3.6,4.76,22.7,26.0,0
R0137,주거,일일권,비,19.3,70.7,3.7,4.13,27.0,16.0,0
R0138,주거,월회원,흐림,14.9,58.3,1.4,2.48,12.0,24.0,0
R0139,도심,월회원,비,17.7,85.9,4.4,6.35,31.1,50.0,0
R0140,주거,일일권,맑음,27.7,66.5,3.6,2.16,14.6,25.0,0
R0141,대학가,일일권,맑음,21.7,36.4,1.3,5.37,27.9,40.0,0
R0142,도심,연회원,흐림,25.4,50.1,3.1,5.56,26.1,28.0,0
R0143,주거,월회원,,22.3,43.2,2.4,1.38,,37.0,0
R0144,대학가,연회원,비,31.4,89.0,5.8,1.72,15.8,17.0,0
R0145,대학가,일일권,맑음,24.6,40.9,4.8,1.66,11.5,10.0,0
R0146,대학가,월회원,비,20.9,88.2,4.9,8.41,40.6,17.0,0
R0147,대학가,일일권,흐림,30.7,70.2,2.9,6.42,33.4,17.0,0
R0148,대학가,연회원,흐림,18.1,47.3,0.8,2.33,17.4,14.0,0
R0149,대학가,일일권,흐림,12.1,63.7,3.3,3.8,19.2,38.0,0
R0150,공원,일일권,,20.1,47.1,5.9,2.4,,10.0,0
R0151,대학가,연회원,맑음,26.0,42.7,2.9,3.87,21.0,23.0,0
R0152,공원,월회원,맑음,24.7,47.9,3.0,1.24,9.0,16.0,0
R0153,공원,월회원,맑음,19.1,,1.7,4.83,25.7,31.0,0
R0154,주거,연회원,비,15.8,86.1,3.6,1.01,10.8,9.0,0
R0155,주거,일일권,흐림,20.0,61.5,2.1,5.99,31.1,37.0,0
R0156,공원,월회원,맑음,31.3,63.3,3.4,5.23,28.2,29.0,0
R0157,대학가,연회원,흐림,33.2,74.4,2.9,2.48,15.8,1.0,0
R0158,주거,월회원,맑음,30.1,57.4,2.1,1.79,11.6,45.0,0
R0159,공원,연회원,비,17.1,92.9,4.0,17.07,87.1,10.0,1
R0160,도심,연회원,흐림,23.5,69.2,1.9,4.98,22.1,26.0,0
R0161,도심,일일권,흐림,19.6,64.0,2.3,3.57,19.3,14.0,0
R0162,공원,연회원,흐림,22.0,72.1,2.5,1.94,12.5,31.0,0
R0163,주거,월회원,흐림,23.2,84.3,2.7,1.98,13.7,17.0,0
R0164,주거,일일권,맑음,17.5,41.5,2.8,4.91,20.0,36.0,0
R0165,공원,월회원,맑음,22.2,,2.5,1.8,11.7,14.0,0
R0166,도심,월회원,비,28.2,80.3,4.3,4.83,22.5,22.0,0
R0167,공원,월회원,흐림,15.4,75.2,3.3,5.66,27.1,19.0,0
R0168,도심,연회원,흐림,22.6,65.4,2.3,3.88,20.7,31.0,0
R0169,공원,월회원,맑음,22.2,70.6,3.9,1.09,11.8,5.0,0
R0170,도심,연회원,맑음,14.5,39.1,5.5,5.09,27.6,30.0,1
R0171,대학가,월회원,맑음,23.2,124.3,1.9,2.09,12.4,35.0,0
R0172,도심,월회원,비,22.9,90.1,5.8,1.79,18.0,28.0,0
R0173,공원,,맑음,16.5,39.4,2.0,4.4,19.1,9.0,0
R0174,대학가,일일권,,15.4,95.8,4.5,3.06,265.3,19.0,0
R0175,대학가,월회원,맑음,25.0,43.3,5.8,3.78,23.4,13.0,0
R0176,대학가,일일권,맑음,19.8,51.7,4.5,3.84,16.9,27.0,0
R0177,대학가,연회원,맑음,24.2,51.5,0.8,3.48,17.3,18.0,0
R0178,도심,일일권,맑음,19.0,57.2,3.4,4.15,18.7,,0
R0179,대학가,월회원,맑음,15.4,54.1,4.4,2.87,16.2,9.0,0
R0180,공원,연회원,맑음,21.3,66.2,2.0,4.35,25.2,18.0,0
R0181,도심,연회원,흐림,23.3,65.2,0.3,3.15,15.7,16.0,0
R0182,주거,일일권,맑음,24.5,47.4,2.2,4.75,26.2,14.0,0
R0183,대학가,연회원,흐림,21.9,128.3,3.9,7.86,38.9,20.0,0
R0184,주거,일일권,비,16.1,83.2,3.6,4.79,27.9,14.0,0
R0185,대학가,연회원,흐림,25.8,67.7,3.7,2.27,15.5,24.0,0
R0186,공원,일일권,비,4.8,84.4,5.1,5.22,25.4,27.0,0
R0187,대학가,일일권,맑음,28.4,49.9,2.4,1.82,10.2,38.0,0
R0188,도심,월회원,맑음,19.5,59.8,3.7,5.72,28.0,27.0,0
R0189,대학가,연회원,흐림,35.4,65.3,2.2,2.99,17.7,22.0,0
R0190,주거,일일권,맑음,25.4,60.5,0.2,5.05,23.6,52.0,0
R0191,공원,월회원,맑음,28.1,,2.8,1.59,8.1,31.0,0
R0192,도심,일일권,흐림,29.8,66.1,0.3,4.6,21.5,20.0,0
R0193,대학가,연회원,,25.6,70.6,2.1,1.78,14.3,21.0,0
R0194,대학가,월회원,맑음,17.8,46.3,2.2,3.7,21.8,26.0,0
R0195,도심,일일권,맑음,23.4,54.0,4.6,2.75,15.4,29.0,0
R0196,공원,월회원,흐림,30.7,61.0,4.6,2.48,10.3,16.0,0
R0197,공원,월회원,흐림,32.6,62.0,3.6,1.77,,18.0,0
R0198,도심,일일권,맑음,22.6,53.5,4.0,1.97,11.8,28.0,0
R0199,도심,월회원,비,17.2,82.4,5.1,5.83,30.1,12.0,0
R0200,주거,월회원,맑음,29.5,47.4,3.2,3.21,16.0,10.0,0
R0201,공원,월회원,,22.0,66.4,2.8,10.05,35.5,45.0,0
R0202,도심,월회원,흐림,18.7,,4.8,3.4,22.0,18.0,0
R0203,대학가,일일권,맑음,25.4,43.1,3.9,3.56,17.9,17.0,0
R0204,도심,일일권,맑음,27.0,50.7,2.8,6.07,29.7,21.0,0
R0205,도심,월회원,흐림,22.5,73.6,3.8,5.8,28.2,20.0,0
R0206,도심,월회원,맑음,37.0,42.7,3.6,4.06,20.1,7.0,0
R0207,공원,월회원,맑음,22.7,63.5,5.7,2.75,,10.0,0
R0208,도심,월회원,맑음,19.8,43.6,5.3,3.18,19.2,40.0,0
R0209,공원,연회원,흐림,23.0,69.7,2.4,1.8,18.9,31.0,0
R0210,주거,일일권,맑음,34.0,55.0,1.5,7.14,30.8,13.0,0
R0211,주거,연회원,흐림,29.7,66.6,2.4,2.16,12.1,13.0,0
R0212,도심,연회원,맑음,20.1,47.2,3.4,2.07,11.5,19.0,0
R0213,대학가,연회원,흐림,22.5,65.5,3.3,3.12,16.5,27.0,0
R0214,도심,연회원,맑음,19.6,45.3,2.7,2.48,15.0,17.0,0
R0215,대학가,연회원,맑음,29.9,56.9,1.3,3.41,13.9,21.0,0
R0216,공원,일일권,맑음,18.6,58.0,3.3,2.51,258.5,36.0,0
R0217,공원,일일권,흐림,16.8,38.9,3.9,2.62,18.5,27.0,0
R0218,대학가,월회원,맑음,20.1,30.7,2.7,2.47,13.5,13.0,0
R0219,주거,연회원,맑음,19.1,47.5,3.4,2.14,17.4,22.0,0
R0220,도심,월회원,맑음,30.3,60.2,3.1,3.02,14.0,20.0,0
R0221,주거,월회원,맑음,16.4,61.2,4.0,5.21,29.1,28.0,0
R0222,주거,연회원,맑음,20.9,69.3,3.2,6.44,29.9,22.0,1
R0223,주거,월회원,비,22.6,78.1,3.1,3.09,22.3,27.0,0
R0224,공원,월회원,맑음,21.2,76.5,5.1,2.92,17.2,44.0,0
R0225,주거,연회원,맑음,25.5,49.7,4.3,5.34,23.1,8.0,0
R0226,주거,월회원,흐림,21.4,70.9,4.2,4.03,17.1,28.0,1
R0227,공원,월회원,맑음,21.8,75.6,4.1,3.54,15.2,14.0,0
R0228,도심,월회원,맑음,23.3,33.0,4.7,3.63,14.0,6.0,0
R0229,대학가,일일권,흐림,26.5,61.3,2.1,4.51,27.0,6.0,0
R0230,도심,일일권,비,21.9,98.0,4.4,2.61,19.4,13.0,0
R0231,대학가,월회원,흐림,13.0,73.1,0.2,4.82,22.2,23.0,0
R0232,대학가,일일권,흐림,30.8,78.0,1.3,3.1,24.5,9.0,0
R0233,도심,연회원,맑음,27.5,51.3,4.0,2.0,16.4,12.0,0
R0234,도심,월회원,맑음,12.6,68.5,4.7,8.06,34.7,29.0,0
R0235,도심,일일권,맑음,30.3,61.0,5.1,2.78,15.3,48.0,0
R0236,주거,일일권,맑음,28.5,46.7,4.3,4.25,22.3,28.0,0
R0237,대학가,일일권,맑음,21.3,37.0,2.0,4.5,20.4,27.0,0
R0238,대학가,월회원,비,12.3,94.7,4.7,4.5,27.3,21.0,0
R0239,주거,연회원,맑음,20.7,,2.7,1.96,16.1,38.0,0
R0240,공원,월회원,맑음,37.0,63.8,4.3,2.25,10.9,26.0,0
R0241,주거,연회원,맑음,26.1,50.3,5.0,5.84,32.8,37.0,0
R0242,대학가,월회원,맑음,30.5,64.5,1.0,2.5,14.6,25.0,0
R0243,공원,일일권,비,3.7,78.4,5.2,1.93,11.5,11.0,0
R0244,공원,월회원,맑음,11.9,60.3,2.4,2.63,18.5,,0
R0245,주거,월회원,맑음,25.5,55.6,6.1,2.67,15.1,31.0,0
R0246,주거,월회원,맑음,22.6,62.1,3.7,2.21,13.7,28.0,0
R0247,대학가,월회원,맑음,15.7,45.9,4.1,6.32,28.4,43.0,1
R0248,주거,일일권,맑음,12.4,64.6,2.1,2.19,15.9,30.0,0
R0249,대학가,연회원,비,20.3,93.4,4.2,6.64,38.2,19.0,0
R0250,도심,일일권,비,12.1,78.1,4.2,3.18,15.0,60.0,0
R0251,공원,,비,26.2,98.0,3.5,1.71,10.3,27.0,0
R0252,주거,월회원,맑음,25.5,67.1,1.2,1.66,15.6,27.0,0
R0253,대학가,일일권,맑음,28.6,41.0,1.1,5.79,25.3,22.0,0
R0254,주거,월회원,비,14.4,79.7,4.7,2.06,17.5,36.0,0
R0255,주거,일일권,맑음,26.8,49.7,4.5,6.21,33.6,11.0,0
R0256,도심,,맑음,13.7,58.5,3.6,5.98,27.5,7.0,0
R0257,대학가,연회원,흐림,28.5,63.6,5.9,1.45,10.8,5.0,0
R0258,도심,월회원,맑음,22.8,61.1,3.7,4.25,23.2,55.0,0
R0259,공원,일일권,맑음,16.3,59.7,2.5,6.27,27.9,25.0,0
R0260,주거,월회원,맑음,19.4,35.0,2.4,2.89,15.8,22.0,0
R0261,공원,일일권,맑음,11.9,54.8,3.2,1.61,11.0,30.0,0
R0262,공원,,맑음,28.4,46.5,5.3,1.17,8.2,20.0,0
R0263,도심,연회원,맑음,25.8,57.9,2.9,1.83,9.1,16.0,0
R0264,도심,월회원,맑음,12.2,36.2,5.4,1.41,12.5,,0
R0265,주거,월회원,비,11.8,96.7,8.3,1.59,13.6,18.0,0
R0266,주거,연회원,맑음,28.2,71.7,0.9,11.87,52.7,,1
R0267,대학가,연회원,흐림,28.8,70.4,1.4,5.68,22.8,17.0,0
R0268,주거,일일권,흐림,6.9,66.1,5.2,4.73,21.8,31.0,0
R0269,공원,일일권,비,17.3,89.3,5.9,6.98,44.5,30.0,0
R0270,도심,연회원,맑음,22.1,58.1,0.8,3.05,11.5,26.0,0
R0271,대학가,일일권,맑음,17.7,62.4,2.9,2.63,7.6,24.0,0
R0272,공원,일일권,맑음,22.6,49.5,4.4,5.59,23.0,35.0,0
R0273,공원,연회원,맑음,28.9,,6.4,2.75,16.9,23.0,0
R0274,공원,연회원,맑음,22.6,64.1,0.2,3.8,18.4,,0
R0275,주거,월회원,흐림,17.8,68.9,2.0,7.26,35.3,27.0,1
R0276,도심,일일권,맑음,29.9,65.1,3.7,7.19,32.4,18.0,0
R0277,도심,일일권,흐림,26.5,78.1,1.7,5.85,29.1,10.0,0
R0278,주거,연회원,흐림,28.1,50.0,4.5,3.77,18.4,34.0,0
R0279,주거,월회원,비,14.2,79.5,3.9,4.99,30.5,34.0,0
R0280,공원,월회원,맑음,25.1,59.7,0.8,2.79,20.8,42.0,0
R0281,대학가,일일권,맑음,20.0,52.0,1.6,3.29,13.5,39.0,0
R0282,공원,일일권,맑음,20.9,44.8,2.7,7.27,31.6,18.0,0
R0283,주거,일일권,맑음,19.7,51.6,3.8,2.0,4.1,33.0,0
R0284,도심,일일권,맑음,14.5,38.3,2.0,6.65,31.9,24.0,1
R0285,대학가,일일권,맑음,21.4,32.2,3.5,10.31,43.2,27.0,0
R0286,주거,연회원,맑음,17.3,82.4,3.3,2.52,19.2,24.0,0
R0287,대학가,일일권,비,12.8,84.3,5.1,3.26,15.7,20.0,0
R0288,도심,일일권,흐림,27.9,75.1,1.7,3.52,22.0,21.0,0
R0289,대학가,연회원,비,17.3,84.6,3.8,8.3,45.6,39.0,0
R0290,주거,일일권,흐림,26.7,63.8,3.7,3.04,16.8,14.0,0
R0291,주거,월회원,비,6.4,81.1,3.7,3.67,20.9,23.0,0
R0292,도심,연회원,맑음,12.5,59.9,4.9,3.44,14.6,27.0,0
R0293,주거,월회원,맑음,21.8,72.3,3.2,1.88,10.2,40.0,0
R0294,주거,월회원,맑음,20.3,56.0,2.6,3.16,18.8,26.0,0
R0295,도심,일일권,맑음,33.4,67.5,1.2,2.56,14.8,36.0,0
R0296,주거,월회원,맑음,19.0,56.8,2.3,2.55,14.8,29.0,0
R0297,도심,일일권,맑음,24.1,65.9,1.3,3.97,23.9,17.0,0
R0298,대학가,월회원,비,23.5,,5.7,11.42,59.9,12.0,0
R0299,주거,연회원,,29.8,44.3,4.1,4.71,22.3,,0
R0300,대학가,연회원,맑음,23.4,73.2,1.8,1.39,6.7,,0
R0301,주거,연회원,비,11.3,97.5,6.1,1.4,10.1,17.0,0
R0302,대학가,월회원,맑음,35.9,46.7,1.8,3.49,21.6,48.0,0
R0303,도심,일일권,맑음,20.1,41.8,2.4,6.3,,21.0,0
R0304,대학가,월회원,맑음,8.0,56.1,2.5,5.73,27.8,26.0,0
R0305,도심,월회원,맑음,31.5,55.3,3.2,1.74,15.9,30.0,0
R0306,주거,일일권,맑음,28.7,62.2,2.4,2.13,11.5,27.0,0
R0307,도심,,비,21.4,80.9,3.3,2.34,19.5,,0
R0308,주거,일일권,흐림,24.6,55.4,3.1,3.18,19.0,13.0,0
R0309,대학가,일일권,맑음,28.2,51.0,1.7,2.1,12.6,16.0,0
R0310,주거,일일권,맑음,20.2,62.8,1.8,2.39,17.0,25.0,0
R0311,주거,일일권,비,23.1,71.3,3.5,0.68,4.0,28.0,1
R0312,대학가,일일권,비,15.6,97.8,4.7,7.51,38.2,36.0,1
R0313,주거,월회원,비,21.5,73.4,5.5,8.28,41.1,9.0,1
R0314,공원,연회원,맑음,22.5,67.4,2.8,2.19,12.5,32.0,0
R0315,도심,연회원,비,13.0,84.8,4.1,11.73,59.0,4.0,1
R0316,도심,,흐림,26.7,58.5,4.2,1.22,12.6,10.0,0
R0317,대학가,연회원,비,19.9,79.1,4.8,3.88,,20.0,0
R0318,도심,월회원,맑음,27.4,59.9,1.2,11.28,50.9,11.0,1
R0319,도심,월회원,맑음,25.3,51.0,2.5,6.61,30.6,18.0,0
R0320,주거,일일권,흐림,28.8,,2.5,1.82,15.1,23.0,0
R0321,공원,월회원,맑음,22.7,40.9,4.0,1.41,6.7,24.0,0
R0322,도심,일일권,흐림,26.8,49.3,2.9,5.36,26.4,33.0,0
R0323,도심,일일권,비,11.8,80.0,6.3,1.65,13.4,12.0,0
R0324,도심,,맑음,10.1,56.1,3.6,1.76,14.5,13.0,0
R0325,도심,연회원,맑음,10.3,52.3,2.0,4.13,21.1,33.0,0
R0326,주거,일일권,맑음,32.4,72.4,3.2,3.09,23.4,33.0,0
R0327,주거,일일권,비,18.7,82.6,6.4,1.27,10.5,11.0,0
R0328,공원,일일권,맑음,21.3,61.1,2.8,6.34,24.5,39.0,0
R0329,도심,연회원,맑음,21.7,43.3,3.3,3.0,15.0,38.0,0
R0330,도심,월회원,비,18.3,87.0,3.4,6.55,32.4,34.0,0
R0331,주거,월회원,맑음,18.2,58.5,2.1,5.17,22.0,21.0,0
R0332,도심,연회원,맑음,28.0,54.0,3.7,0.85,6.4,42.0,0
R0333,도심,연회원,맑음,28.8,,1.0,0.85,6.4,30.0,0
R0334,도심,일일권,맑음,23.6,48.0,2.1,0.8,6.2,27.0,0
R0335,주거,연회원,맑음,21.7,43.7,3.7,2.24,13.8,17.0,0
R0336,주거,일일권,맑음,33.0,70.2,2.8,1.96,18.9,24.0,1
R0337,대학가,일일권,맑음,31.0,55.9,4.6,3.59,17.8,1.0,0
R0338,대학가,연회원,비,15.0,98.0,5.9,4.67,23.4,32.0,0
R0339,대학가,연회원,비,10.8,84.3,5.7,4.35,23.9,36.0,0
R0340,대학가,월회원,맑음,17.4,61.7,3.5,1.02,11.5,14.0,0
R0341,공원,일일권,맑음,34.3,61.7,2.6,3.47,15.6,23.0,0
R0342,주거,연회원,맑음,30.3,,2.0,2.83,17.7,22.0,0
R0343,주거,월회원,비,16.3,84.3,6.1,2.51,20.9,18.0,0
